iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
122,7,0.219493,0.0941814,0.345004,0.0443444,2,0.160205,0.0332356,0.19344,0.126969,2,0.127069,0.0027528,0.129822,0.124316,4,0.199256,0.0875071,0.348294,0.124371
123,7,0.219552,0.0941387,0.345107,0.0445214,2,0.160343,0.0332908,0.193633,0.127052,2,0.127085,0.00270904,0.129794,0.124376,4,0.19929,0.0873879,0.34812,0.124483
124,7,0.21961,0.0940963,0.34521,0.0446988,2,0.160481,0.0333459,0.193827,0.127135,2,0.127101,0.00266481,0.129766,0.124436,4,0.199323,0.0872685,0.347946,0.124595
125,7,0.219669,0.0940538,0.345314,0.0448765,2,0.160619,0.0334009,0.19402,0.127218,2,0.127117,0.00262004,0.129737,0.124497,4,0.199356,0.0871489,0.347771,0.124707
126,7,0.219727,0.0940116,0.345418,0.0450547,3,0.190496,0.0501497,0.249974,0.127301,2,0.127134,0.00257502,0.129709,0.124559,4,0.19939,0.0870292,0.347597,0.12482
127,7,0.219786,0.0939694,0.345523,0.0452333,3,0.190536,0.0500583,0.249818,0.127384,2,0.127151,0.00252967,0.129681,0.124621,4,0.199424,0.0869094,0.347422,0.124934
128,7,0.219845,0.0939272,0.345627,0.0454122,3,0.190576,0.0499668,0.249662,0.127468,2,0.127168,0.00248404,0.129652,0.124684,4,0.199458,0.0867892,0.347247,0.125048
129,7,0.219904,0.0938851,0.345732,0.0455915,3,0.190616,0.0498756,0.249507,0.127551,2,0.127186,0.00243794,0.129624,0.124748,4,0.199492,0.0866689,0.347073,0.125163
130,7,0.219963,0.093843,0.345837,0.045771,3,0.190657,0.0497847,0.249351,0.127634,2,0.127204,0.00239201,0.129596,0.124812,4,0.199527,0.0865481,0.346897,0.125278
131,7,0.220022,0.093801,0.345942,0.0459511,3,0.190696,0.0496943,0.249195,0.127717,2,0.127222,0.00234546,0.129567,0.124876,4,0.199562,0.0864272,0.346722,0.125394
