iteration,c0,m0,s0,mx0,mn0,c1,m1,s1,mx1,mn1,c2,m2,s2,mx2,mn2,c3,m3,s3,mx3,mn3
98,5,0.196401,0.0946629,0.355428,0.0771883,6,0.191412,0.0951813,0.365665,0.0979491,3,0.157551,0.0694615,0.250794,0.0841598,7,0.19876,0.0615797,0.296336,0.13133
99,5,0.196261,0.0946216,0.355229,0.077055,6,0.180308,0.103512,0.36551,0.0777755,3,0.157486,0.0694838,0.250724,0.0839982,7,0.19878,0.0615884,0.296236,0.131263
100,5,0.196122,0.0945799,0.35503,0.0769223,6,0.180343,0.103494,0.365354,0.0776003,3,0.15742,0.0695059,0.250654,0.0838367,7,0.198799,0.0615976,0.296137,0.131196
101,5,0.195983,0.094538,0.35483,0.07679,6,0.180379,0.103475,0.365197,0.0774254,3,0.157355,0.0695281,0.250584,0.0836758,7,0.198819,0.0616071,0.296038,0.131129
102,5,0.195845,0.094496,0.354631,0.0766584,6,0.191694,0.094932,0.365041,0.0986133,3,0.15729,0.0695502,0.250514,0.0835152,7,0.198839,0.061617,0.29594,0.131062
103,5,0.195706,0.0944537,0.354432,0.0765271,6,0.180451,0.103438,0.364883,0.0770754,3,0.157225,0.0695725,0.250444,0.0833546,7,0.198858,0.0616272,0.295842,0.130995
104,5,0.195568,0.0944112,0.354232,0.0763963,6,0.180487,0.103419,0.364726,0.0769006,3,0.157161,0.0695948,0.250375,0.0831947,7,0.198878,0.0616377,0.295743,0.130928
105,5,0.19543,0.0943685,0.354033,0.0762658,6,0.180523,0.1034,0.364568,0.076726,3,0.157096,0.0696172,0.250305,0.0830347,7,0.198898,0.0616485,0.295645,0.130862
106,5,0.195292,0.0943256,0.353834,0.0761356,6,0.180559,0.103382,0.36441,0.0765513,3,0.157032,0.0696392,0.250235,0.0828754,7,0.198918,0.0616598,0.295547,0.130795
107,5,0.195154,0.0942825,0.353634,0.0760062,6,0.180595,0.103363,0.364252,0.0763764,3,0.156967,0.069661,0.250165,0.0827165,7,0.198937,0.0616716,0.29545,0.130727
108,5,0.195016,0.0942392,0.353435,0.0758773,6,0.192123,0.094553,0.364094,0.0996215,3,0.156903,0.0696828,0.250095,0.0825581,7,0.198957,0.0616837,0.295353,0.13066
109,5,0.194879,0.0941956,0.353235,0.0757492,6,0.192196,0.0944893,0.363936,0.0997905,3,0.156839,0.0697044,0.250025,0.0824001,7,0.198977,0.0616963,0.295256,0.130593
110,5,0.194742,0.0941517,0.353036,0.0756219,6,0.180705,0.103308,0.363777,0.0758523,3,0.156775,0.0697262,0.249955,0.0822423,7,0.198997,0.0617091,0.29516,0.130525
111,5,0.194605,0.0941075,0.352836,0.0754955,6,0.192341,0.0943619,0.363619,0.10013,3,0.156712,0.0697477,0.249884,0.0820852,7,0.199017,0.0617224,0.295065,0.130458
112,5,0.194468,0.0940632,0.352637,0.0753696,6,0.180778,0.103272,0.36346,0.0755026,3,0.156649,0.0697693,0.249815,0.0819283,7,0.199037,0.0617359,0.29497,0.130392
113,5,0.194332,0.0940186,0.352437,0.0752445,6,0.180815,0.103254,0.363302,0.0753275,3,0.156585,0.069791,0.249745,0.0817716,7,0.199057,0.0617498,0.294875,0.130326
114,5,0.194195,0.0939739,0.352238,0.0751196,6,0.180852,0.103236,0.363142,0.0751524,3,0.156522,0.0698125,0.249675,0.0816156,7,0.199077,0.0617641,0.294781,0.130259
115,5,0.194059,0.0939289,0.352038,0.0749955,7,0.233275,0.149238,0.495618,0.0749773,3,0.156459,0.0698338,0.249605,0.0814603,7,0.199097,0.0617787,0.294687,0.130193
116,5,0.193923,0.0938837,0.351838,0.0748719,6,0.20134,0.102874,0.362824,0.100983,3,0.156396,0.0698547,0.249534,0.0813056,7,0.199118,0.0617938,0.294595,0.130127
117,5,0.193788,0.0938381,0.351639,0.0747492,6,0.201386,0.102791,0.362665,0.101154,3,0.156333,0.0698755,0.249463,0.0811512,7,0.199138,0.0618092,0.294502,0.13006
