iteration,n_agents,c0,m0,s0,mx0,mn0
395,49,20,0.436032,0.230953,0.942762,0.0823089
396,49,20,0.436037,0.23096,0.942566,0.0822316
397,49,20,0.436042,0.230967,0.942369,0.0821541
398,49,20,0.436047,0.230973,0.942289,0.0820764
399,49,20,0.436053,0.23098,0.94229,0.081999
400,49,20,0.436058,0.230987,0.942291,0.0819215
401,49,20,0.436064,0.230994,0.942291,0.081844
402,49,20,0.436069,0.231001,0.942292,0.0817666
403,49,20,0.436074,0.231008,0.942291,0.0816891
404,49,20,0.43608,0.231015,0.942291,0.0816121
405,49,20,0.436085,0.231022,0.942291,0.0815354
406,49,20,0.436091,0.231029,0.94229,0.0814585
407,49,20,0.436096,0.231036,0.942289,0.0813819
408,49,20,0.436102,0.231043,0.942288,0.0813052
409,49,20,0.436107,0.23105,0.942286,0.0812284
410,49,20,0.436112,0.231057,0.942284,0.0811513
411,49,21,0.41611,0.234467,0.942282,0.0810745
412,49,21,0.416104,0.234478,0.94228,0.0809977
413,49,21,0.416099,0.23449,0.942277,0.0809215
414,49,21,0.416093,0.234502,0.942275,0.0808452
415,49,21,0.416088,0.234514,0.942272,0.0807694
416,49,20,0.419894,0.239681,0.942269,0.0806934
417,49,20,0.419898,0.23969,0.942265,0.0806178
418,49,20,0.419902,0.2397,0.942262,0.0805427
419,49,20,0.419905,0.239709,0.942258,0.0804673
420,49,20,0.419909,0.239718,0.942254,0.0803918
421,49,20,0.419913,0.239727,0.94225,0.0803168
422,49,20,0.419918,0.239736,0.942246,0.0802423
423,49,20,0.419922,0.239745,0.942242,0.0801684
424,49,20,0.419926,0.239754,0.942237,0.0800949
425,49,20,0.41993,0.239763,0.942232,0.080022
426,49,20,0.419935,0.239771,0.942226,0.0799494
427,49,20,0.419939,0.23978,0.94222,0.079877
428,49,20,0.419944,0.239789,0.942213,0.0798051
429,49,20,0.419949,0.239797,0.942206,0.0797334
430,49,20,0.419954,0.239806,0.942199,0.0796622
431,49,20,0.419958,0.239815,0.942191,0.079591
432,49,20,0.419963,0.239823,0.942183,0.0795199
433,49,20,0.419968,0.239832,0.942174,0.0794491
434,49,20,0.419973,0.23984,0.942165,0.0793781
435,49,20,0.419979,0.239848,0.942156,0.0793077
436,49,20,0.419984,0.239857,0.942146,0.0792376
437,49,20,0.419989,0.239865,0.942135,0.079168
